Day of year,Date,ILI,Pneumonia
1,1/1/2020,0,0
2,2/1/2020,0,0
3,3/1/2020,0,0
4,4/1/2020,0,0
5,5/1/2020,0,0
6,6/1/2020,0,0
7,7/1/2020,0,0
8,8/1/2020,0,0
9,9/1/2020,0,0
10,10/1/2020,0,0
11,11/1/2020,0,0
12,12/1/2020,0,0
13,13/1/2020,0,0
14,14/1/2020,0,0
15,15/1/2020,0,0
16,16/1/2020,0,0
17,17/1/2020,0,0
18,18/1/2020,0,0
19,19/1/2020,0,0
20,20/1/2020,0,0
21,21/1/2020,0,0
22,22/1/2020,0,0
23,23/1/2020,0,0
24,24/1/2020,0,0
25,25/1/2020,0,0
26,26/1/2020,0,0
27,27/1/2020,0,0
28,28/1/2020,0,0
29,29/1/2020,0,0
30,30/1/2020,0,0
31,31/1/2020,0,0
32,1/2/2020,0,0
33,2/2/2020,0,0
34,3/2/2020,0,0
35,4/2/2020,0,0
36,5/2/2020,0,0
37,6/2/2020,0,0
38,7/2/2020,0,0
39,8/2/2020,0,0
40,9/2/2020,0,0
41,10/2/2020,0,0
42,11/2/2020,0,0
43,12/2/2020,0,0
44,13/2/2020,0,0
45,14/2/2020,0,0
46,15/2/2020,0,0
47,16/2/2020,0,0
48,17/2/2020,0,0
49,18/2/2020,0,0
50,19/2/2020,0,0
51,20/2/2020,0,0
52,21/2/2020,0,0
53,22/2/2020,0,1
54,23/2/2020,0,0
55,24/2/2020,0,1
56,25/2/2020,0,0
57,26/2/2020,0,0
58,27/2/2020,0,0
59,28/2/2020,1,1
60,29/2/2020,0,0
61,1/3/2020,0,0
62,2/3/2020,0,2
